id,name,team,position,age,height_cm,total_points,avg_per_match,attack_pts,attack_eff,attack_avg,block_pts,block_eff,block_avg,serve_pts,serve_eff,serve_avg
136468,Ricardo Lucarelli Souza,BRASIL,PUNTA RECEPTOR,34,196,88,8.00,69,44.23%,6.27,12,26.09%,1.09,7,6.93%,0.64
136851,Antoine Brizard,FRANCIA,ARMADOR,32,196,37,3.08,17,51.52%,1.42,9,14.29%,0.75,11,5.47%,0.92
136956,Flavio Resende Gualberto,BRASIL,CENTRAL,33,199,82,7.45,59,57.84%,5.36,21,19.81%,1.91,2,1.71%,0.18
137102,David Fiel Rodriguez,-,CENTRAL,33,205,27,6.75,21,60.00%,5.25,5,16.13%,1.25,1,3.45%,0.25
139254,Torey Defalco,ESTADOS UNIDOS,PUNTA RECEPTOR,29,198,63,6.30,46,42.59%,4.60,7,21.88%,0.70,10,12.20%,1.00
139386,Moritz Reichert,ALEMANIA,PUNTA RECEPTOR,31,194,73,6.08,61,42.96%,5.08,7,17.50%,0.58,5,5.81%,0.42
139762,Nivaldo Nadhir Dias Gomez,CUBA,PUNTA RECEPTOR,32,202,31,2.58,29,42.65%,2.42,2,13.33%,0.17,0,0.00%,0.00
140042,Danny Demyanenko,-,CENTRAL,32,196,40,10.00,27,62.79%,6.75,11,17.74%,2.75,2,2.94%,0.50
140061,Stephen Timothy Maar,-,PUNTA RECEPTOR,31,201,41,10.25,39,44.83%,9.75,1,3.57%,0.25,1,2.22%,0.25
141282,Pablo Sergio Koukartsev,ARGENTINA,OPUESTO,33,203,36,7.20,32,43.84%,6.40,4,19.05%,0.80,0,0.00%,0.00
142220,Illa Kovalov,UCRANIA,PUNTA RECEPTOR,30,190,120,9.23,103,45.98%,7.92,12,18.18%,0.92,5,5.15%,0.38
142410,Jan Martinez Franchi,ARGENTINA,PUNTA RECEPTOR,28,190,38,3.17,32,35.96%,2.67,4,23.53%,0.33,2,4.35%,0.17
142411,Joaquin Gallego,ARGENTINA,CENTRAL,29,204,26,2.17,18,46.15%,1.50,8,16.00%,0.67,0,0.00%,0.00
142412,Matias Sanchez Pages,ARGENTINA,ARMADOR,29,175,9,0.75,4,50.00%,0.33,0,0.00%,0.00,5,3.76%,0.42
142420,Matias Giraudo,ARGENTINA,ARMADOR,28,196,1,0.12,0,-,-,0,0.00%,0.00,1,6.67%,0.12
142445,Kyle Dagostino,-,LÍBERO,31,175,0,0.00,0,-,-,0,-,-,0,-,-
142561,Kentaro Takahashi,-,CENTRAL,31,201,4,2.00,4,66.67%,2.00,0,0.00%,0.00,0,0.00%,0.00
142562,Motoki Eiro,JAPÓN,ARMADOR,30,192,2,0.13,1,50.00%,0.07,0,0.00%,0.00,1,3.33%,0.07
142565,Taishi Onodera,JAPÓN,CENTRAL,30,202,50,4.55,34,62.96%,3.09,13,18.57%,1.18,3,3.45%,0.27
142568,Yuki Ishikawa,JAPÓN,PUNTA RECEPTOR,30,191,179,12.79,165,51.40%,11.79,6,11.54%,0.43,8,4.91%,0.57
142581,Zhejia Zhang,CHINA,CENTRAL,31,207,43,10.75,33,68.75%,8.25,10,21.28%,2.50,0,0.00%,0.00
142670,Bartlomiej Lemanski,POLONIA,CENTRAL,30,217,125,8.33,73,64.60%,4.87,38,31.15%,2.53,14,8.59%,0.93
142676,Artur Szalpuk,POLONIA,PUNTA RECEPTOR,31,201,53,4.82,39,42.86%,3.55,7,24.14%,0.64,7,8.86%,0.64
142679,Aleksander Sliwka,POLONIA,PUNTA RECEPTOR,31,196,71,4.73,63,42.86%,4.20,6,16.67%,0.40,2,2.63%,0.13
